day_index,hub_name,resource_type,resource_demand_units,resource_capacity_units,contributing_routes,resource_capacity_note,utilization,shortage_units,resource_status,scenic_peak_load,scenic_overload_persons
2,塔什库尔干县(帕米尔高原),coach_bus,11.4254,224.3111,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0509,0.0,green,,
2,塔什库尔干县(帕米尔高原),licensed_guide,15.506,315.4375,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0492,0.0,green,,
2,塔什库尔干县(帕米尔高原),scenic_shuttle_or_parking,9.6481,201.88,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0478,0.0,green,,
2,吐鲁番市,coach_bus,43.8969,961.3333,Q4V2_R018;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0457,0.0,green,,
2,吐鲁番市,licensed_guide,59.5744,1351.875,Q4V2_R018;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0441,0.0,green,,
2,吐鲁番市,scenic_shuttle_or_parking,37.0685,865.2,Q4V2_R018;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0428,0.0,green,,
2,天池风景区,coach_bus,14.2566,423.4444,Q4V2_R015,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0337,0.0,green,,
2,天池风景区,licensed_guide,19.3482,595.4688,Q4V2_R015,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0325,0.0,green,,
2,库尔勒市,coach_bus,28.1974,869.7778,Q4V2_R029;Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0324,0.0,green,,
2,天池风景区,scenic_shuttle_or_parking,12.0389,381.1,Q4V2_R015,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0316,0.0,green,,
2,库尔勒市,licensed_guide,38.2679,1223.125,Q4V2_R029;Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0313,0.0,green,,
2,库尔勒市,scenic_shuttle_or_parking,23.8111,782.8,Q4V2_R029;Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0304,0.0,green,,
2,喀什市,coach_bus,23.0482,1190.2222,Q4V2_R039;Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0194,0.0,green,,
2,乌鲁木齐市,coach_bus,53.0395,2746.6667,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0193,0.0,green,,
2,喀什市,licensed_guide,31.2798,1673.75,Q4V2_R039;Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0187,0.0,green,,
2,乌鲁木齐市,licensed_guide,71.9821,3862.5,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0186,0.0,green,,
2,喀什市,scenic_shuttle_or_parking,19.463,1071.2,Q4V2_R039;Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0182,0.0,green,,
2,乌鲁木齐市,scenic_shuttle_or_parking,44.7889,2472.0,Q4V2_R005;Q4V2_R006;Q4V2_R043;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0181,0.0,green,,
3,达坂城镇,coach_bus,53.3797,141.9111,Q4V2_R005;Q4V2_R043;Q4V2_R045;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.3761,0.0,green,,
3,达坂城镇,licensed_guide,66.2369,199.5625,Q4V2_R005;Q4V2_R043;Q4V2_R045;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.3319,0.0,green,,
3,达坂城镇,scenic_shuttle_or_parking,40.8822,127.72,Q4V2_R005;Q4V2_R043;Q4V2_R045;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.3201,0.0,green,,
3,霍城县(惠远古城),coach_bus,25.4846,263.2222,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0968,0.0,green,,
3,霍城县(惠远古城),licensed_guide,34.5863,370.1562,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0934,0.0,green,,
3,霍城县(惠远古城),scenic_shuttle_or_parking,21.5204,236.9,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0908,0.0,green,,
3,塔什库尔干县(帕米尔高原),coach_bus,19.1834,224.3111,Q4V2_R024;Q4V2_R041;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0855,0.0,green,,
3,吐鲁番市,coach_bus,68.7217,961.3333,Q4V2_R006;Q4V2_R018;Q4V2_R046;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0715,0.0,green,,
3,塔什库尔干县(帕米尔高原),licensed_guide,21.5238,315.4375,Q4V2_R024;Q4V2_R041;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0682,0.0,green,,
3,吐鲁番市,licensed_guide,88.3214,1351.875,Q4V2_R006;Q4V2_R018;Q4V2_R046;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0653,0.0,green,,
3,塔什库尔干县(帕米尔高原),scenic_shuttle_or_parking,13.1514,201.88,Q4V2_R024;Q4V2_R041;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0651,0.0,green,,
3,吐鲁番市,scenic_shuttle_or_parking,54.6912,865.2,Q4V2_R006;Q4V2_R018;Q4V2_R046;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0632,0.0,green,,
3,库车市,coach_bus,13.4868,526.4444,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0256,0.0,green,,
3,库车市,licensed_guide,18.3036,740.3125,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0247,0.0,green,,
3,库车市,scenic_shuttle_or_parking,11.3889,473.8,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.024,0.0,green,,
3,和田市,coach_bus,11.7588,640.8889,Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0183,0.0,green,,
3,和田市,licensed_guide,15.9583,901.25,Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0177,0.0,green,,
3,和田市,scenic_shuttle_or_parking,9.9296,576.8,Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0172,0.0,green,,
3,库尔勒市,coach_bus,10.1636,869.7778,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0117,0.0,green,,
3,库尔勒市,licensed_guide,7.9857,1223.125,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0065,0.0,green,,
3,库尔勒市,scenic_shuttle_or_parking,4.6583,782.8,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.006,0.0,green,,
3,乌鲁木齐市,coach_bus,14.2566,2746.6667,Q4V2_R015,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0052,0.0,green,,
3,乌鲁木齐市,licensed_guide,19.3482,3862.5,Q4V2_R015,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.005,0.0,green,,
3,乌鲁木齐市,scenic_shuttle_or_parking,12.0389,2472.0,Q4V2_R015,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0049,0.0,green,,
4,达坂城镇,coach_bus,18.5136,141.9111,Q4V2_R005;Q4V2_R048,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1305,0.0,green,,
