route_id,trial,scenario,spots_count,scheduled_days,active_hours,over_budget_days,time_window_violations,limited_lodging_nights,hotel_full_nights,reservation_failures,transport_delay_events,severe_transport_events,crowd_penalty,total_proxy_cost_yuan,route_feasible
HYBRID_30D_ACO_ALNS_SA,140,summer_peak,32,31,215.874,5,0,0,1,1,3,0,0.0,15563.58,False
HYBRID_30D_ACO_ALNS_SA,141,normal_weekday,32,29,196.32,2,0,0,0,1,3,0,0.0,14398.53,False
HYBRID_30D_ACO_ALNS_SA,142,holiday_peak,32,34,251.518,7,0,1,5,2,2,0,0.672,17729.02,False
HYBRID_30D_ACO_ALNS_SA,143,normal_weekday,32,31,197.317,3,1,0,1,1,0,0,0.0,14992.19,False
HYBRID_30D_ACO_ALNS_SA,144,summer_peak,32,33,234.828,7,0,0,6,1,2,0,0.0,16713.86,False
HYBRID_30D_ACO_ALNS_SA,145,holiday_peak,32,34,249.297,11,0,0,2,5,3,0,0.672,17173.6,False
HYBRID_30D_ACO_ALNS_SA,146,normal_weekday,32,31,215.119,5,0,0,2,0,3,0,0.0,14994.64,False
HYBRID_30D_ACO_ALNS_SA,147,summer_peak,32,30,214.264,7,0,0,3,1,5,0,0.0,15711.37,False
HYBRID_30D_ACO_ALNS_SA,148,holiday_peak,32,36,256.161,8,0,0,8,3,2,0,0.672,18555.53,False
HYBRID_30D_ACO_ALNS_SA,149,adverse_weather,32,35,260.574,13,0,1,1,4,9,0,0.0,16510.11,False
HYBRID_30D_ACO_ALNS_SA,150,normal_weekday,32,31,212.28,5,0,0,2,0,3,0,0.0,14987.2,False
HYBRID_30D_ACO_ALNS_SA,151,normal_weekday,32,31,203.98,3,0,0,0,0,1,0,0.0,14738.53,True
HYBRID_30D_ACO_ALNS_SA,152,summer_peak,32,31,219.577,4,0,0,6,1,0,0,0.0,16503.66,False
HYBRID_30D_ACO_ALNS_SA,153,road_closure,32,37,318.102,14,0,1,2,2,8,0,0.0,16927.46,False
HYBRID_30D_ACO_ALNS_SA,154,holiday_peak,32,32,242.108,9,0,0,8,5,2,0,0.672,18081.01,False
HYBRID_30D_ACO_ALNS_SA,155,normal_weekday,32,31,209.57,5,0,0,0,0,1,0,0.0,14728.53,False
HYBRID_30D_ACO_ALNS_SA,156,normal_weekday,32,29,200.486,4,0,0,1,0,1,0,0.0,14480.33,True
HYBRID_30D_ACO_ALNS_SA,157,normal_weekday,32,32,215.27,6,0,0,0,1,4,0,0.0,14888.53,False
HYBRID_30D_ACO_ALNS_SA,158,normal_weekday,32,30,197.01,4,0,0,0,0,2,0,0.0,14548.53,True
HYBRID_30D_ACO_ALNS_SA,159,normal_weekday,32,28,196.66,4,0,0,0,1,1,0,0.0,14128.53,False
HYBRID_30D_ACO_ALNS_SA,160,summer_peak,32,33,230.634,7,0,0,5,3,3,0,0.0,16731.52,False
HYBRID_30D_ACO_ALNS_SA,161,normal_weekday,32,29,202.31,5,0,1,0,2,1,0,0.0,14368.53,False
HYBRID_30D_ACO_ALNS_SA,162,holiday_peak,32,35,263.875,9,0,0,3,5,2,0,0.672,17607.71,False
HYBRID_30D_ACO_ALNS_SA,163,holiday_peak,32,33,263.329,11,0,0,8,2,2,0,0.672,18413.86,False
