iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
66,random_removal,none,4327.7032,True,245872.978,245872.978,257523.04,32,32,30,5,0,2
67,long_arc_removal,two_opt,4301.737,False,95303.165,245872.978,257523.04,30,32,31,3,0,3
68,lodging_pressure_removal,two_opt,4275.9266,False,221180.101,245872.978,257523.04,32,32,30,6,0,3
69,random_removal,two_opt,4250.271,False,-121824.435,245872.978,257523.04,32,32,33,7,0,2
70,region_removal,reorder,4224.7694,True,246184.598,246184.598,257523.04,31,32,29,4,0,2
71,worst_removal,none,4199.4208,True,247665.297,247665.297,257523.04,31,32,30,3,0,2
72,lodging_pressure_removal,reorder,4174.2242,False,219598.483,247665.297,257523.04,31,32,29,6,0,3
73,random_removal,two_opt,4149.1789,False,-4818.836,247665.297,257523.04,31,32,32,6,0,2
74,long_arc_removal,swap,4124.2838,False,-263471.74,247665.297,257523.04,31,32,34,5,0,2
75,random_removal,two_opt,4099.5381,False,83824.21,247665.297,257523.04,29,32,31,6,0,3
76,worst_removal,two_opt,4074.9409,False,120404.674,247665.297,257523.04,31,32,31,6,0,2
77,lodging_pressure_removal,swap,4050.4912,False,-371934.502,247665.297,257523.04,31,32,35,6,0,1
78,long_arc_removal,none,4026.1883,False,225865.455,247665.297,257523.04,27,32,28,4,0,2
79,long_arc_removal,reorder,4002.0312,False,218139.984,247665.297,257523.04,31,32,29,6,0,3
80,lodging_pressure_removal,none,3978.019,True,249434.386,249434.386,257523.04,31,32,30,3,0,1
81,long_arc_removal,two_opt,3954.1509,False,222615.49,249434.386,257523.04,27,32,30,5,0,2
82,random_removal,reorder,3930.426,False,241302.3,249434.386,257523.04,31,32,30,5,0,2
83,worst_removal,reorder,3906.8434,False,219598.483,249434.386,257523.04,31,32,29,6,0,3
84,region_removal,none,3883.4023,True,245443.738,245443.738,257523.04,30,32,30,2,0,2
