persona_id,persona_name,spots_count,scheduled_days,total_value_score,topic_preference_spots,cultural_spots,natural_spots,total_travel_hours,total_service_hours,total_active_hours,transport_cost_yuan_for_two,distance_km,mean_comfort_score,p10_comfort_score,red_days,yellow_days,route_sequence,dropped_spots_count,dropped_spots,constraint_status,model_note
explorer_dense,探索紧凑型30天改造,32,25,160.8,16,15,16,88.753,97.75,186.503,3151.82,5730.604,92.83,82.6,1,2,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 博斯腾湖 -> 罗布人村寨 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园 -> 和田博物馆 -> 千里葡萄长廊,0,,satisfied,基于真实高德OD重排程；按低体验收益比删除非核心景点
standard_active,普通体力型30天主线,32,28,160.8,16,15,16,88.753,97.75,186.503,3151.82,5730.604,91.78,80.48,1,3,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 博斯腾湖 -> 罗布人村寨 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园 -> 和田博物馆 -> 千里葡萄长廊,0,,satisfied,基于真实高德OD重排程；按低体验收益比删除非核心景点
family_comfort,亲子舒适型30天改造,30,30,157.5,16,15,15,84.816,90.25,175.066,3040.39,5528.011,89.19,72.8,3,5,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 博斯腾湖 -> 罗布人村寨 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园 -> 和田博物馆,2,千里葡萄长廊 -> 巴音布鲁克草原,satisfied,基于真实高德OD重排程；按低体验收益比删除非核心景点
senior_slow,长者慢游型30天改造,20,23,129.0,16,10,10,58.706,63.25,121.956,2148.36,3906.138,85.51,51.37,5,1,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 罗布人村寨 -> 库车王府 -> 克孜尔石窟 -> 喀什古城,12,千里葡萄长廊 -> 巴音布鲁克草原 -> 博斯腾湖 -> 天山神秘大峡谷 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 江布拉克草原 -> 艾提尕尔清真寺 -> 和田博物馆 -> 香妃园 -> 北庭故城遗址 -> 石头城遗址,tradeoff_remaining,基于真实高德OD重排程；按低体验收益比删除非核心景点
