from_spot_id,from_spot_name,from_lng,from_lat,to_spot_id,to_spot_name,to_lng,to_lat,amap_origin_id,amap_dest_batch_index,driving_distance_km,driving_duration_hours,driving_duration_minutes,source_id
P005,坎儿井民俗园,89.148541,42.95264,P003,火焰山,89.513296,42.918783,5,3,32.731,0.669,40.1,AMAP_DISTANCE_API
P006,交河故城,89.065435,42.953881,P003,火焰山,89.513296,42.918783,6,3,43.774,0.865,51.9,AMAP_DISTANCE_API
P007,楼兰古城,75.993543,39.463205,P003,火焰山,89.513296,42.918783,7,3,1391.107,15.879,952.7,AMAP_DISTANCE_API
P008,赛里木湖,81.386542,44.617077,P003,火焰山,89.513296,42.918783,8,3,767.409,8.193,491.6,AMAP_DISTANCE_API
P009,那拉提草原,84.020007,43.266978,P003,火焰山,89.513296,42.918783,9,3,644.751,9.557,573.5,AMAP_DISTANCE_API
P010,喀拉峻大草原,82.088099,43.065713,P003,火焰山,89.513296,42.918783,10,3,913.232,13.261,795.7,AMAP_DISTANCE_API
P011,高昌故城,89.528941,42.852645,P003,火焰山,89.513296,42.918783,11,3,15.651,0.47,28.2,AMAP_DISTANCE_API
P012,苏公塔,89.206429,42.935833,P003,火焰山,89.513296,42.918783,12,3,28.308,0.512,30.8,AMAP_DISTANCE_API
P013,吐峪沟麻扎村,89.69288,42.856627,P003,火焰山,89.513296,42.918783,13,3,19.529,0.393,23.6,AMAP_DISTANCE_API
P014,霍城薰衣草花田,80.917837,44.294346,P003,火焰山,89.513296,42.918783,14,3,827.849,9.025,541.5,AMAP_DISTANCE_API
P015,昭苏草原,81.422775,42.842975,P003,火焰山,89.513296,42.918783,15,3,951.767,15.302,918.1,AMAP_DISTANCE_API
P016,夏塔古道,80.668138,42.597704,P003,火焰山,89.513296,42.918783,16,3,1020.741,14.635,878.1,AMAP_DISTANCE_API
P017,果子沟大桥,81.140191,44.475984,P003,火焰山,89.513296,42.918783,17,3,793.127,8.432,505.9,AMAP_DISTANCE_API
P018,喀纳斯湖,87.055797,48.82663,P003,火焰山,89.513296,42.918783,18,3,908.711,11.144,668.6,AMAP_DISTANCE_API
P019,禾木村,87.452753,48.576964,P003,火焰山,89.513296,42.918783,19,3,891.775,10.613,636.8,AMAP_DISTANCE_API
P020,白哈巴村,86.783604,48.699657,P003,火焰山,89.513296,42.918783,20,3,879.622,10.506,630.4,AMAP_DISTANCE_API
P021,可可托海,89.884211,47.222081,P003,火焰山,89.513296,42.918783,21,3,748.147,8.263,495.8,AMAP_DISTANCE_API
P022,五彩滩,86.680702,47.837537,P003,火焰山,89.513296,42.918783,22,3,760.165,8.464,507.8,AMAP_DISTANCE_API
