route_id,route_type,recommendation_role,spots_count,planned_trip_days,buffer_days,total_cost_yuan_excluding_meals,mean_comfort_score,weighted_success_probability,tail_loss_cvar75,region_list,model_note,product_card
Q1V2_EXTREME_32_HARD30,极限覆盖版,对照基准，不主推,32,30,0,14698.53,83.02,0.1192,7548.09,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,沿用第一版 HYBRID_30D_ACO_ALNS_SA；展示32景点硬30天覆盖上限,极限覆盖版｜32景点/30天/缓冲0天｜费用约14699元｜舒适度83.0｜加权成功率11.9%
Q1V2_BALANCED_30_BUFFER2,均衡稳健版,主推,30,28,2,12166.89,91.94,0.8664,3603.64,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,删除低收益/高扰动边际点：千里葡萄长廊、巴音布鲁克草原；保留2天机动缓冲,均衡稳健版｜30景点/28天/缓冲2天｜费用约12167元｜舒适度91.9｜加权成功率86.6%
Q1V2_FAMILY_30_COMFORT,亲子舒适版,扩展方案,30,30,0,13962.39,89.19,0.6863,4929.9,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,直接复用亲子舒适型自适应排程；以低日强度替代缓冲天数,亲子舒适版｜30景点/30天/缓冲0天｜费用约13962元｜舒适度89.2｜加权成功率68.6%
Q1V2_SENIOR_20_SLOW,长者慢游版,扩展方案,20,30,7,10328.36,88.89,0.8017,3059.74,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,删减高海拔/长转场/低收益点，保留7天低强度缓冲,长者慢游版｜20景点/30天/缓冲7天｜费用约10328元｜舒适度88.9｜加权成功率80.2%
