route_id,baseline_days,baseline_over_budget_days,baseline_time_window_violations,baseline_limited_lodging_nights,original_sequence,repaired_sequence,sequence_changed,repaired_days,repaired_over_budget_days,repaired_time_window_violations,repaired_limited_lodging_nights,lodging_repair_recommendations,operational_actions
PCOP_MILP,28,5,1,2,达坂城古镇 -> 天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 火焰山 -> 高昌故城 -> 交河故城 -> 葡萄沟 -> 坎儿井民俗园 -> 苏公塔 -> 罗布人村寨 -> 克孜尔石窟 -> 喀什古城 -> 石头城遗址 -> 艾提尕尔清真寺 -> 香妃园 -> 和田博物馆 -> 库车王府 -> 昭苏草原 -> 喀拉峻大草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,达坂城古镇 -> 天山天池 -> 北庭故城遗址 -> 吐峪沟麻扎村 -> 火焰山 -> 高昌故城 -> 交河故城 -> 葡萄沟 -> 坎儿井民俗园 -> 苏公塔 -> 罗布人村寨 -> 克孜尔石窟 -> 喀什古城 -> 石头城遗址 -> 香妃园 -> 艾提尕尔清真寺 -> 和田博物馆 -> 库车王府 -> 昭苏草原 -> 喀拉峻大草原 -> 那拉提草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖,True,28,5,0,2,2,5
PCOP_ALNS,38,7,0,4,江布拉克草原 -> 北庭故城遗址 -> 天山天池 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 和田博物馆 -> 千里葡萄长廊 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园,江布拉克草原 -> 北庭故城遗址 -> 天山天池 -> 达坂城古镇 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 苏公塔 -> 坎儿井民俗园 -> 交河故城 -> 罗布人村寨 -> 博斯腾湖 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 和田博物馆 -> 千里葡萄长廊 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 奥依塔克冰川 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园,False,38,7,0,4,4,7
