route_id,simulation_samples,success_probability,overrun_probability,expected_days,p90_days,p95_days,expected_cost_yuan,p95_cost_yuan,expected_loss,cvar75_loss,cvar90_loss,expected_red_days,prob_red_days_gt1,mean_simulated_comfort,p10_simulated_comfort,chance_constraint_pass,simulation_note
Q1V3_Q24_131,500,0.812,0.0,25.028,25.0,25.0,11122.37,13318.76,1022.766,1860.806,2191.001,2.784,1.0,83.617,79.266,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_165,500,0.716,0.0,22.018,22.0,22.0,11031.56,13174.97,1721.289,2600.561,2954.761,6.774,1.0,77.924,73.822,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_196,500,0.798,0.0,25.036,25.0,25.0,11573.57,13918.2,1436.775,2377.139,2718.952,4.806,1.0,81.768,77.176,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_195,500,0.774,0.0,26.022,26.0,26.0,12476.71,15019.64,1119.092,2080.303,2461.121,2.808,1.0,81.855,77.806,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_207,500,0.762,0.012,28.456,30.0,30.0,12753.19,15407.11,1690.741,2730.582,3168.883,5.844,1.0,83.339,78.199,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_206,500,0.76,0.014,28.434,30.0,30.0,12924.69,15540.52,1499.18,2568.617,2960.418,4.82,1.0,82.9,77.427,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_175,500,0.59,0.29,30.052,32.0,33.0,13531.92,16254.69,1790.27,3518.621,4131.962,3.856,1.0,79.907,74.078,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_174,500,0.0,1.0,31.874,34.0,35.0,13903.28,16721.44,3060.603,5194.461,5944.354,3.852,1.0,80.305,73.447,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_167,500,0.762,0.0,26.044,26.0,26.0,13877.0,16689.12,1360.02,2430.022,2814.303,3.808,1.0,82.3,78.175,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_179,500,0.778,0.004,28.366,29.0,30.0,12070.33,14500.03,1312.901,2238.381,2585.271,3.83,1.0,83.561,78.916,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_166,500,0.796,0.0,24.028,24.0,24.0,13925.73,16784.81,1322.673,2399.761,2785.533,3.802,1.0,80.979,76.591,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_215,500,0.758,0.034,28.45,30.0,30.0,11856.6,14271.78,1487.575,2483.818,2877.061,4.818,1.0,83.119,76.903,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_214,500,0.764,0.0,27.196,28.0,28.0,14029.23,16854.14,1514.703,2553.821,2938.263,4.82,1.0,82.647,77.375,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_169,500,0.75,0.016,28.436,30.0,30.0,11900.91,14291.8,1323.992,2333.283,2765.41,3.824,1.0,83.187,77.729,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_168,500,0.774,0.004,28.328,29.0,30.0,14127.66,16998.54,1563.6,2636.681,3025.999,4.816,1.0,82.932,78.174,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_178,500,0.802,0.0,28.362,29.0,30.0,12657.23,15210.83,1478.331,2462.005,2833.056,4.824,1.0,82.951,78.735,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_171,500,0.614,0.232,29.914,32.0,32.0,12549.56,15084.9,1854.685,3368.6,3904.819,4.828,1.0,82.354,76.606,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_170,500,0.784,0.016,28.498,30.0,30.0,13152.17,15823.03,1533.082,2572.318,3007.827,4.828,1.0,82.193,77.054,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_201,500,0.698,0.076,28.578,30.0,31.0,12665.85,15214.62,1796.04,2859.012,3292.663,5.856,1.0,80.068,73.897,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q26_176,500,0.8,0.0,26.008,26.0,26.0,14020.75,16844.67,1314.238,2393.088,2803.382,3.78,1.0,81.534,77.489,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_272,500,0.0,1.0,32.892,36.0,36.0,13037.47,15646.97,4027.568,6341.914,7404.888,3.854,1.0,83.262,75.197,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_271,500,0.586,0.282,30.116,33.0,33.0,13617.33,16343.14,2067.606,4008.329,4718.836,4.846,1.0,82.093,75.322,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_262,500,0.0,1.0,33.732,35.0,36.0,13549.84,16273.1,5084.734,6885.335,7446.304,5.832,1.0,83.722,78.603,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_261,500,0.0,1.0,33.704,35.0,36.0,13586.47,16354.13,4875.301,6647.024,7285.058,4.844,1.0,83.594,79.034,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_231,500,0.0,1.0,34.782,37.0,37.0,13758.88,16522.57,6065.381,8038.264,8574.883,5.844,1.0,84.195,78.832,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_230,500,0.0,1.0,34.692,36.0,36.0,14098.84,16939.08,5811.115,7642.023,8276.836,4.836,1.0,84.345,79.572,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_251,500,0.0,1.0,32.808,35.0,36.0,14038.43,16856.33,4451.072,6454.237,7135.384,6.828,1.0,82.862,76.311,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_250,500,0.0,1.0,32.744,35.0,35.0,14005.52,16854.74,4037.316,6009.01,6645.4,4.832,1.0,83.295,77.223,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_223,500,0.79,0.0,28.3,29.0,29.0,14433.35,17275.52,1346.26,2381.33,2737.095,3.806,1.0,82.954,78.592,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_224,500,0.0,1.0,31.528,32.1,33.0,14776.94,17772.99,2749.569,4376.197,4934.891,3.816,1.0,83.578,79.296,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_270,500,0.0,1.0,31.746,34.0,35.0,12354.69,14916.03,2734.601,4662.433,5468.037,2.82,1.0,84.193,76.686,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q28_234,500,0.644,0.224,29.79,31.0,31.0,12420.14,14919.85,1900.958,3128.831,3610.965,5.836,1.0,83.038,78.598,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
