route_id,simulation_samples,success_probability,overrun_probability,expected_days,p90_days,p95_days,expected_cost_yuan,p95_cost_yuan,expected_loss,cvar75_loss,cvar90_loss,expected_red_days,prob_red_days_gt1,mean_simulated_comfort,p10_simulated_comfort,chance_constraint_pass,simulation_note
Q1V3_Q32_379,500,0.0,1.0,33.844,36.0,36.0,14233.3,17101.63,5259.797,7239.557,7840.366,5.856,1.0,80.846,75.045,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_378,500,0.0,1.0,35.808,38.0,38.0,14660.75,17666.32,7068.523,9028.377,9567.581,5.846,1.0,83.307,78.044,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_346,500,0.0,1.0,36.766,38.0,39.0,15769.54,18976.69,7976.316,9885.922,10551.98,5.878,1.0,83.339,78.149,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_367,500,0.0,1.0,35.038,37.0,38.0,15412.12,18543.8,6420.955,8750.409,9444.224,5.874,1.0,79.796,73.408,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_366,500,0.0,1.0,37.94,40.0,40.0,15396.0,18466.67,9193.739,11277.266,11795.647,6.864,1.0,83.073,77.066,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_345,500,0.0,1.0,36.818,39.0,39.0,15965.8,19210.8,8172.219,10146.0,10844.349,6.878,1.0,82.763,77.621,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_349,500,0.0,1.0,36.956,40.0,40.0,14712.6,17677.94,8071.334,10358.916,11142.679,5.86,1.0,83.92,77.135,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_361,500,0.0,1.0,35.954,38.0,39.0,15808.66,18869.0,7783.586,10015.371,10784.791,8.878,1.0,79.818,73.787,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_394,500,0.0,1.0,36.984,40.0,40.0,15193.92,18291.2,7603.377,10046.47,10926.149,2.872,1.0,84.166,77.127,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_382,500,0.0,1.0,35.914,38.0,38.0,15601.72,18768.07,7532.604,9588.48,10168.617,7.866,1.0,81.763,76.531,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_342,500,0.0,1.0,34.884,37.0,37.0,14771.85,17809.95,6233.236,8267.597,8861.249,5.858,1.0,80.763,74.929,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_340,500,0.0,1.0,36.936,39.0,40.0,14568.34,17527.78,8063.172,10278.579,10917.981,5.848,1.0,84.262,77.49,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_341,500,0.0,1.0,34.888,37.0,37.0,14864.82,17834.51,5871.36,7991.704,8599.417,3.874,1.0,81.7,76.249,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_354,500,0.0,1.0,35.85,38.0,38.0,14728.78,17831.76,7268.055,9309.733,9925.374,6.862,1.0,82.776,76.776,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_355,500,0.0,1.0,35.848,38.0,38.0,14942.55,18004.44,7068.95,9026.211,9553.426,5.854,1.0,82.915,78.009,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_339,500,0.0,1.0,36.924,39.0,40.0,14755.58,17712.71,7895.403,10097.799,10716.7,4.862,1.0,83.68,77.004,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_371,500,0.0,1.0,35.976,38.0,39.0,15574.57,18688.45,7596.981,9933.469,10624.671,7.876,1.0,80.909,74.316,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q32_365,500,0.0,1.0,36.0,38.0,39.0,15525.38,18637.73,7453.52,9694.348,10383.164,6.884,1.0,80.008,73.629,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
