route_id,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_soft_feasible,schedule_strict_feasible,schedule_feasible,scheduler_note
Q1V3_Q22_106,23,30,7,3,4,23,6,1,12.286,6.427,86.13,71.034,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_105,25,30,5,3,6,21,6,0,11.55,6.001,87.797,71.628,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_084,23,30,7,4,5,21,6,1,11.624,6.295,86.194,70.25,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q22_083,24,30,6,3,5,22,5,0,11.55,6.177,87.266,71.221,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_151,26,30,4,5,7,18,4,2,12.278,6.592,85.134,66.678,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_150,26,30,4,2,10,18,5,1,23.666,6.991,86.789,74.273,2,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_120,25,30,5,2,7,21,7,0,11.752,6.248,87.522,78.016,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_119,25,30,5,2,9,19,8,0,11.752,6.345,86.854,76.364,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_141,25,30,5,5,8,17,4,1,11.752,6.784,83.952,61.214,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_140,26,30,4,3,12,15,6,0,11.752,6.683,85.645,72.26,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_124,25,30,5,2,7,21,6,0,11.752,6.284,88.11,76.736,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_123,25,30,5,3,8,19,6,0,10.5,6.341,87.858,69.112,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_115,26,30,4,3,6,21,5,0,11.55,6.205,87.755,72.035,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_116,25,30,5,3,5,22,6,0,11.624,6.304,87.297,74.752,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_114,23,30,7,3,5,22,5,0,10.5,6.86,86.214,73.912,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_113,22,30,8,3,4,23,5,0,11.036,7.222,84.882,73.866,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_139,26,30,4,3,5,22,7,0,11.752,6.123,87.735,73.586,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_138,26,30,4,4,6,20,6,0,11.55,6.229,87.022,69.26,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_159,27,30,3,4,5,21,7,0,11.752,6.12,87.363,72.659,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_158,27,30,3,4,7,19,6,0,11.55,6.25,86.584,69.408,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q24_131,25,30,5,2,6,22,6,0,11.752,6.349,87.565,76.484,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
