route_id,target_coverage_q,generation_method,spots_count,spot_id_sequence,route_sequence,label_sequence,transport_mode_sequence,mode_mix,mode_hours_mix,public_transport_hours_share,region_count,region_list,theme_count,theme_list,preference_satisfaction_rate,loulan_substitute_spots,topic_preference_spots,cultural_spots,natural_spots,remote_or_high_altitude_spots,reservation_spots,capacity_simulated_spots,transport_cost_yuan_for_two,ticket_cost_yuan_for_two,rough_hotel_cost_yuan,total_cost_yuan_excluding_meals,total_travel_hours,total_service_hours,total_fatigue_score,total_risk_score,long_transfer_edges,estimated_active_days,estimated_buffer_days,coverage_value_v3,risk_proxy_score,cvar_proxy_loss,fast_master_score,hard_constraints_pass,model_note,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_feasible,scheduler_note,simulation_samples,success_probability,overrun_probability,expected_days,p90_days,p95_days,expected_cost_yuan,p95_cost_yuan,expected_loss,cvar75_loss,cvar90_loss,expected_red_days,prob_red_days_gt1,mean_simulated_comfort,p10_simulated_comfort,chance_constraint_pass,simulation_note,robust_utility,is_robust_pareto,selected_role,selection_status
Q1V3_Q32_340,32,balanced,32,P001 -> P002 -> P032 -> P034 -> P037 -> P040 -> P028 -> P027 -> P025 -> P024 -> P026 -> P031 -> P030 -> P029 -> P009 -> P015 -> P016 -> P010 -> P014 -> P017 -> P008 -> P022 -> P021 -> P036 -> P035 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 达坂城古镇 -> 博斯腾湖 -> 罗布人村寨 -> 和田博物馆 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 喀什古城 -> 香妃园 -> 克孜尔石窟 -> 库车王府 -> 天山神秘大峡谷 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 五彩滩 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P002_01 | L_P002_P032_01 | L_P032_P034_01 | L_P034_P037_01 | L_P037_P040_01 | L_P040_P028_01 | L_P028_P027_01 | L_P027_P025_01 | L_P025_P024_01 | L_P024_P026_01 | L_P026_P031_01 | L_P031_P030_01 | L_P030_P029_01 | L_P029_P009_01 | L_P009_P015_01 | L_P015_P016_01 | L_P016_P010_01 | L_P010_P014_01 | L_P014_P017_01 | L_P017_P008_01 | L_P008_P022_01 | L_P022_P021_01 | L_P021_P036_01 | L_P036_P035_01 | L_P035_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,rental_car | rental_car | rental_car | charter_car | charter_car | rental_car | taxi_transfer | rental_car | taxi_transfer | taxi_transfer | charter_car | taxi_transfer | taxi_transfer | rental_car | charter_car | rental_car | rental_car | rental_car | taxi_transfer | taxi_transfer | charter_car | rental_car | rental_car | taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:5;rail:1;rental_car:11;scenic_shuttle:2;taxi_transfer:16,charter_car:41.59;rail:0.81;rental_car:43.3;scenic_shuttle:1.61;taxi_transfer:10.95,0.0079,6,东疆、乌鲁木齐周边、伊犁、北疆、南疆、巴州-南疆北线,7,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城、高原边境,1.0,10,16,15,17,3,17,29,3867.28,3464.0,5640.0,12971.28,102.361,97.75,109.678,3.707,5,26,4,1181.476,350.66,22792.9,642.5386,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,33,33,0,5,9,19,5,0,11.752,6.606,87.142,69.578,6,0,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录,500,0.0,1.0,34.936,37.0,38.0,14557.18,17483.49,6251.345,8472.574,9137.61,5.848,1.0,82.342,75.57,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动,0.62026,True,极限覆盖版,criteria_pass
Q1V3_Q30_279,30,v2_ordered_seed_direct_label_choice,30,P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013 -> P036 -> P035 -> P001 -> P008 -> P014 -> P017 -> P010 -> P016 -> P015 -> P009 -> P032 -> P034 -> P029 -> P030 -> P031 -> P025 -> P024 -> P040 -> P027 -> P028 -> P026 -> P037,达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池 -> 赛里木湖 -> 霍城薰衣草花田 -> 果子沟大桥 -> 喀拉峻大草原 -> 夏塔古道 -> 昭苏草原 -> 那拉提草原 -> 博斯腾湖 -> 罗布人村寨 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 艾提尕尔清真寺 -> 喀什古城 -> 奥依塔克冰川 -> 帕米尔高原白沙湖 -> 石头城遗址 -> 香妃园 -> 和田博物馆,L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01 | L_P013_P036_01 | L_P036_P035_01 | L_P035_P001_01 | L_P001_P008_01 | L_P008_P014_01 | L_P014_P017_01 | L_P017_P010_01 | L_P010_P016_01 | L_P016_P015_01 | L_P015_P009_01 | L_P009_P032_01 | L_P032_P034_01 | L_P034_P029_01 | L_P029_P030_01 | L_P030_P031_01 | L_P031_P025_01 | L_P025_P024_01 | L_P024_P040_01 | L_P040_P027_01 | L_P027_P028_01 | L_P028_P026_01 | L_P026_P037_01,taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | rental_car | charter_car | taxi_transfer | taxi_transfer | rental_car | rental_car | rental_car | charter_car | charter_car | rental_car | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | taxi_transfer | taxi_transfer | charter_car | taxi_transfer | rental_car | rental_car | rental_car | rental_car | rental_car,charter_car:4;rail:2;rental_car:10;scenic_shuttle:4;taxi_transfer:17,charter_car:28.94;rail:1.98;rental_car:33.86;scenic_shuttle:3.95;taxi_transfer:13.52,0.0218,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,7,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城、高原边境,1.0,10,16,15,15,3,16,27,5267.33,3122.0,5188.8,13578.13,90.629,90.25,91.248,3.179,5,24,6,1145.171,305.62,19865.3,666.3708,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,28,30,2,3,10,17,6,0,11.036,7.059,86.594,75.585,1,0,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录,500,0.716,0.078,28.522,30.0,31.0,15197.34,18311.48,1491.138,2594.068,2981.881,3.83,1.0,82.018,75.966,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动,0.59636,True,30景点均衡覆盖候选版,coverage_candidate_not_strict_robust: 满足30景点和2缓冲，但未同时满足80%成功率或红日<=1，应作为覆盖候选而非最终稳健主推
Q1V3_Q24_120,24,culture,24,P001 -> P035 -> P036 -> P034 -> P037 -> P039 -> P025 -> P026 -> P030 -> P031 -> P009 -> P015 -> P014 -> P017 -> P020 -> P022 -> P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 千里葡萄长廊 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 白哈巴村 -> 五彩滩 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P035_01 | L_P035_P036_01 | L_P036_P034_01 | L_P034_P037_01 | L_P037_P039_01 | L_P039_P025_01 | L_P025_P026_01 | L_P026_P030_01 | L_P030_P031_01 | L_P031_P009_01 | L_P009_P015_01 | L_P015_P014_01 | L_P014_P017_01 | L_P017_P020_01 | L_P020_P022_01 | L_P022_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,rental_car | taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | rental_car | taxi_transfer | charter_car | taxi_transfer | charter_car | charter_car | rental_car | taxi_transfer | charter_car | rental_car | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:6;rail:1;rental_car:4;scenic_shuttle:2;taxi_transfer:14,charter_car:50.72;rail:1.24;rental_car:15.81;scenic_shuttle:2.48;taxi_transfer:10.09,0.0147,6,东疆、乌鲁木齐周边、伊犁、北疆、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,9,13,13,10,0,11,21,3416.85,2442.0,4060.8,9919.65,84.442,61.75,88.217,2.966,7,19,11,1219.853,281.38,18289.7,789.6526,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,25,30,5,2,7,21,7,0,11.752,6.248,87.162,78.016,2,0,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录,500,0.824,0.0,25.036,25.0,25.0,11134.74,13360.43,1030.766,1887.977,2257.829,2.778,1.0,83.169,78.678,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动,0.7063,True,鲁棒稳健主推版,criteria_pass_relaxed_coverage: 成功率>=80%、红日<=2、缓冲>=2；覆盖降至24+以换取稳健性
Q1V3_Q24_120,24,culture,24,P001 -> P035 -> P036 -> P034 -> P037 -> P039 -> P025 -> P026 -> P030 -> P031 -> P009 -> P015 -> P014 -> P017 -> P020 -> P022 -> P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 江布拉克草原 -> 北庭故城遗址 -> 罗布人村寨 -> 和田博物馆 -> 千里葡萄长廊 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 白哈巴村 -> 五彩滩 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P035_01 | L_P035_P036_01 | L_P036_P034_01 | L_P034_P037_01 | L_P037_P039_01 | L_P039_P025_01 | L_P025_P026_01 | L_P026_P030_01 | L_P030_P031_01 | L_P031_P009_01 | L_P009_P015_01 | L_P015_P014_01 | L_P014_P017_01 | L_P017_P020_01 | L_P020_P022_01 | L_P022_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,rental_car | taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | rental_car | taxi_transfer | charter_car | taxi_transfer | charter_car | charter_car | rental_car | taxi_transfer | charter_car | rental_car | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:6;rail:1;rental_car:4;scenic_shuttle:2;taxi_transfer:14,charter_car:50.72;rail:1.24;rental_car:15.81;scenic_shuttle:2.48;taxi_transfer:10.09,0.0147,6,东疆、乌鲁木齐周边、伊犁、北疆、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,9,13,13,10,0,11,21,3416.85,2442.0,4060.8,9919.65,84.442,61.75,88.217,2.966,7,19,11,1219.853,281.38,18289.7,789.6526,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,25,30,5,2,7,21,7,0,11.752,6.248,87.162,78.016,2,0,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录,500,0.824,0.0,25.036,25.0,25.0,11134.74,13360.43,1030.766,1887.977,2257.829,2.778,1.0,83.169,78.678,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动,0.7063,True,亲子舒适版,criteria_pass
Q1V3_Q22_092,22,balanced,22,P001 -> P036 -> P034 -> P030 -> P025 -> P026 -> P031 -> P009 -> P015 -> P016 -> P010 -> P014 -> P017 -> P008 -> P002 -> P006 -> P005 -> P012 -> P004 -> P003 -> P011 -> P013,天山天池 -> 北庭故城遗址 -> 罗布人村寨 -> 库车王府 -> 艾提尕尔清真寺 -> 香妃园 -> 克孜尔石窟 -> 那拉提草原 -> 昭苏草原 -> 夏塔古道 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 达坂城古镇 -> 交河故城 -> 坎儿井民俗园 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村,L_P001_P036_01 | L_P036_P034_01 | L_P034_P030_01 | L_P030_P025_01 | L_P025_P026_01 | L_P026_P031_01 | L_P031_P009_01 | L_P009_P015_01 | L_P015_P016_01 | L_P016_P010_01 | L_P010_P014_01 | L_P014_P017_01 | L_P017_P008_01 | L_P008_P002_01 | L_P002_P006_01 | L_P006_P005_01 | L_P005_P012_01 | L_P012_P004_01 | L_P004_P003_01 | L_P003_P011_01 | L_P011_P013_01,taxi_transfer | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | scenic_shuttle>taxi_transfer>rail>taxi_transfer>scenic_shuttle | charter_car | taxi_transfer | charter_car | charter_car | charter_car | rental_car | rental_car | rental_car | taxi_transfer | taxi_transfer | charter_car | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer | taxi_transfer,charter_car:5;rail:2;rental_car:3;scenic_shuttle:4;taxi_transfer:15,charter_car:35.41;rail:2.27;rental_car:10.53;scenic_shuttle:4.54;taxi_transfer:11.11,0.0334,5,东疆、乌鲁木齐周边、伊犁、南疆、巴州-南疆北线,6,丝路遗址、城市博物馆、宗教文化、民族民俗、自然山水、西域古城,1.0,8,16,12,10,0,11,19,2625.11,2636.0,3835.2,9096.31,67.964,65.25,64.59,2.483,6,18,12,984.945,239.34,15557.1,620.2453,True,coverage-grid重新搜索；交通标签在候选路线评价中直接选择；CVaR为主搜索快速代理，精评见仿真表,23,30,7,2,6,22,6,0,10.372,6.174,88.969,76.242,0,0,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录,500,0.82,0.0,23.026,23.0,23.0,10201.51,12281.09,973.696,1814.521,2187.975,2.734,1.0,85.371,81.619,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动,0.5439,True,长者慢游版,criteria_pass
