plan_id,simulation_samples,operational_success_probability,strict_comfort_success_probability,expected_intra_transport_cost,p95_intra_transport_cost,expected_max_year_days,p95_max_year_days,expected_loss,cvar75_loss,cvar90_loss,break_even_external_premium,open_gateway_cheaper_probability,simulation_note
Q2V3_024_OPEN_GATEWAY,500,1.0,0.0,3664.07,4172.7,17.454,20.0,758.949,1313.003,1595.37,249.4,0.02,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_087_OPEN_GATEWAY,500,1.0,0.988,3869.45,4395.38,20.604,23.0,710.422,1234.668,1460.118,51.78,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_033_OPEN_GATEWAY,500,0.994,0.0,3894.17,4454.96,20.572,23.05,1032.577,1588.282,1847.208,41.4,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_049_OPEN_GATEWAY,500,1.0,0.0,3891.45,4474.29,18.454,21.0,848.511,1401.728,1633.947,33.31,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_035_OPEN_GATEWAY,500,1.0,0.992,3954.11,4497.6,20.486,23.0,714.807,1209.803,1440.705,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_055_OPEN_GATEWAY,500,1.0,0.0,4085.77,4615.7,19.606,22.0,893.892,1404.398,1663.629,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_079_OPEN_GATEWAY,500,1.0,0.0,4111.28,4679.75,19.606,22.0,881.805,1411.672,1651.239,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_043_OPEN_GATEWAY,500,1.0,0.994,4185.3,4771.63,18.51,21.0,726.969,1273.391,1524.927,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_051_OPEN_GATEWAY,500,1.0,0.0,4248.55,4843.28,19.518,22.0,877.854,1394.356,1631.945,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_063_OPEN_GATEWAY,500,0.986,0.0,4256.56,4831.05,21.624,24.05,1194.998,1723.766,1980.073,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_052_ROOTED_URUMQI,500,0.998,0.946,3939.06,4479.1,21.75,25.0,341.255,609.938,759.229,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_070_ROOTED_URUMQI,500,1.0,0.938,3947.51,4516.14,21.624,24.0,356.925,634.826,769.86,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_001_ROOTED_URUMQI,500,1.0,0.938,4086.15,4641.47,18.484,21.0,344.721,615.12,747.082,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_005_ROOTED_URUMQI,500,1.0,0.944,4092.54,4676.79,18.51,21.0,361.888,671.148,813.632,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_074_ROOTED_URUMQI,500,1.0,0.936,4123.14,4688.16,22.722,26.0,339.842,627.384,779.161,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_060_ROOTED_URUMQI,500,1.0,0.938,4205.01,4764.76,21.738,25.0,364.519,651.929,799.616,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_038_ROOTED_URUMQI,500,1.0,0.928,4207.61,4787.7,20.596,23.0,340.528,607.542,757.469,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_011_ROOTED_URUMQI,500,1.0,0.0,4236.79,4835.37,18.614,21.0,367.427,673.206,837.77,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_080_ROOTED_URUMQI,500,0.996,0.714,4281.43,4860.32,21.606,24.0,504.091,781.404,908.88,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_015_ROOTED_URUMQI,500,0.994,0.0,4316.34,4913.07,25.842,29.0,510.55,804.145,974.684,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_064_ROOTED_URUMQI,500,0.998,0.69,4365.95,4939.3,20.574,23.0,521.481,802.339,949.286,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_044_ROOTED_URUMQI,500,1.0,0.0,4380.59,5005.19,21.676,24.05,358.424,635.68,783.561,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_076_ROOTED_URUMQI,500,0.996,0.0,4399.12,4972.45,19.548,22.0,523.573,813.663,970.893,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_082_ROOTED_URUMQI,500,0.994,0.0,4422.13,5051.14,18.514,21.0,517.757,828.385,1007.922,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_058_ROOTED_URUMQI,500,1.0,0.92,4422.49,4993.14,22.748,26.0,365.905,670.018,812.747,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_042_ROOTED_URUMQI,500,1.0,0.0,4414.44,5013.79,18.488,21.0,514.662,794.18,935.885,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_009_ROOTED_URUMQI,500,0.998,0.0,4414.3,5012.76,24.89,28.0,369.146,667.737,810.883,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_021_ROOTED_URUMQI,500,0.986,0.0,4418.16,5019.96,25.948,29.0,376.768,721.359,987.269,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_020_ROOTED_URUMQI,500,0.992,0.0,4450.48,5050.69,25.824,29.0,369.953,690.048,902.859,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_017_ROOTED_URUMQI,500,0.986,0.0,4435.99,5068.67,25.83,29.0,370.331,699.448,940.64,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_023_ROOTED_URUMQI,500,1.0,0.0,4455.28,5067.37,24.692,28.0,516.543,809.932,959.492,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_013_ROOTED_URUMQI,500,0.988,0.0,4490.2,5160.01,25.814,29.0,359.638,690.928,910.042,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_030_ROOTED_URUMQI,500,0.998,0.0,4526.05,5152.29,20.626,23.0,525.364,820.406,964.076,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_068_ROOTED_URUMQI,500,0.998,0.0,4534.24,5172.72,19.642,22.0,513.122,788.327,938.437,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_048_ROOTED_URUMQI,500,1.0,0.0,4542.08,5189.95,20.474,23.0,510.792,784.461,916.185,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_056_ROOTED_URUMQI,500,0.996,0.0,4603.59,5184.77,20.56,23.0,518.847,804.444,947.095,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_078_ROOTED_URUMQI,500,0.994,0.0,4629.29,5266.46,24.754,28.0,529.629,839.992,1009.824,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
Q2V3_036_ROOTED_URUMQI,500,1.0,0.0,4670.77,5275.55,22.606,26.0,364.33,650.145,793.628,0.0,0.0,route-specific two-year Monte Carlo; external premium only applies to open gateway plans
