selected_role,plan_id,gateway_policy,year1_entry_gateway,year1_exit_gateway,year2_entry_gateway,year2_exit_gateway,covered_spots,year1_spots,year2_spots,year1_days,year2_days,max_year_days,year_day_difference,year1_transport_cost,year2_transport_cost,total_intra_transport_cost,external_premium_break_even,operational_success_probability,strict_comfort_success_probability,cvar75_loss,red_days,time_window_violations,schedule_soft_feasible,schedule_strict_feasible,proved_optimal,solver_status,selection_status,year1_mode_hours_mix,year2_mode_hours_mix,year1_route_sequence,year2_route_sequence
ROOTED_URUMQI_MAIN,Q2V3_052_ROOTED_URUMQI,rooted_urumqi,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,乌鲁木齐市,38,17,21,13,20,20,7,1132.2,2576.97,3709.17,0.0,0.998,0.946,609.938,1,0,True,True,False,matheuristic_seed_2opt_relocate_swap,criteria_pass,"{""charter_car"": 15.42, ""gateway_access"": 5.828, ""rail"": 2.433, ""rental_car"": 0.858, ""scenic_shuttle"": 9.5, ""self_drive"": 7.8}","{""charter_car"": 34.368, ""gateway_access"": 10.742, ""rental_car"": 21.511, ""scenic_shuttle"": 9.7, ""self_drive"": 6.0}",天山天池 -> 苏公塔 -> 高昌故城 -> 葡萄沟 -> 交河故城 -> 吐峪沟麻扎村 -> 坎儿井民俗园 -> 火焰山 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,博斯腾湖 -> 罗布人村寨 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 和田博物馆 -> 千里葡萄长廊 -> 库车王府 -> 天山神秘大峡谷 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖
OPEN_GATEWAY_MIN_INTRA_COST,Q2V3_010_OPEN_GATEWAY,open_gateway,伊宁市(伊犁),阿勒泰市,和田市,喀什市,38,30,8,24,6,24,18,1901.0,542.02,2443.02,1266.15,0.98,0.97,724.066,0,0,True,True,False,matheuristic_seed_2opt_relocate_swap,intra_xj_cost_lower_bound,"{""charter_car"": 27.436, ""gateway_access"": 1.1, ""rail"": 5.983, ""rental_car"": 15.409, ""scenic_shuttle"": 15.9, ""self_drive"": 13.8}","{""charter_car"": 5.7, ""gateway_access"": 2.1, ""rental_car"": 7.314, ""scenic_shuttle"": 6.3}",果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 博斯腾湖 -> 天山天池 -> 坎儿井民俗园 -> 交河故城 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,和田博物馆 -> 千里葡萄长廊 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园
OPEN_GATEWAY_THRESHOLD_POLICY,Q2V3_010_OPEN_GATEWAY,open_gateway,伊宁市(伊犁),阿勒泰市,和田市,喀什市,38,30,8,24,6,24,18,1901.0,542.02,2443.02,1266.15,0.98,0.97,724.066,0,0,True,True,False,matheuristic_seed_2opt_relocate_swap,conditional_on_external_premium,"{""charter_car"": 27.436, ""gateway_access"": 1.1, ""rail"": 5.983, ""rental_car"": 15.409, ""scenic_shuttle"": 15.9, ""self_drive"": 13.8}","{""charter_car"": 5.7, ""gateway_access"": 2.1, ""rental_car"": 7.314, ""scenic_shuttle"": 6.3}",果子沟大桥 -> 赛里木湖 -> 霍城薰衣草花田 -> 喀拉峻大草原 -> 昭苏草原 -> 夏塔古道 -> 那拉提草原 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 库车王府 -> 罗布人村寨 -> 博斯腾湖 -> 天山天池 -> 坎儿井民俗园 -> 交河故城 -> 苏公塔 -> 葡萄沟 -> 火焰山 -> 高昌故城 -> 吐峪沟麻扎村 -> 达坂城古镇 -> 江布拉克草原 -> 北庭故城遗址 -> 可可托海 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 世界魔鬼城,和田博物馆 -> 千里葡萄长廊 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园
ROBUST_TWO_YEAR_MAIN,Q2V3_071_OPEN_GATEWAY,open_gateway,阿勒泰市,吐鲁番市,和田市,伊宁市(伊犁),38,17,21,13,18,18,5,875.02,1773.86,2648.88,1060.29,1.0,0.994,740.471,0,0,True,True,False,matheuristic_seed_2opt_relocate_swap,operational_robust_balanced_choice,"{""charter_car"": 12.085, ""gateway_access"": 1.6, ""rental_car"": 5.339, ""scenic_shuttle"": 10.2, ""self_drive"": 5.95}","{""charter_car"": 25.791, ""gateway_access"": 1.8, ""rail"": 3.55, ""rental_car"": 18.078, ""scenic_shuttle"": 12.7, ""self_drive"": 6.0}",世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 天山天池 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇 -> 坎儿井民俗园 -> 苏公塔 -> 交河故城 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟,和田博物馆 -> 千里葡萄长廊 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园 -> 库车王府 -> 天山神秘大峡谷 -> 克孜尔石窟 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖
COMFORT_BALANCED_BACKUP,Q2V3_002_OPEN_GATEWAY,open_gateway,那拉提镇,乌鲁木齐市,乌鲁木齐市,和田市,38,16,22,16,16,16,0,1529.25,1558.41,3087.66,621.51,0.998,0.992,972.973,0,0,True,True,False,matheuristic_seed_2opt_relocate_swap,comfort_balance_backup,"{""charter_car"": 24.351, ""gateway_access"": 1.774, ""rental_car"": 12.522, ""scenic_shuttle"": 2.7, ""self_drive"": 10.0}","{""charter_car"": 19.627, ""gateway_access"": 2.017, ""rail"": 2.433, ""rental_car"": 10.691, ""scenic_shuttle"": 18.3, ""self_drive"": 5.8}",那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 达坂城古镇,天山天池 -> 吐峪沟麻扎村 -> 高昌故城 -> 火焰山 -> 葡萄沟 -> 交河故城 -> 苏公塔 -> 坎儿井民俗园 -> 罗布人村寨 -> 博斯腾湖 -> 巴音布鲁克草原 -> 天山神秘大峡谷 -> 库车王府 -> 克孜尔石窟 -> 香妃园 -> 喀什古城 -> 奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 千里葡萄长廊 -> 和田博物馆
APPROVAL_EXTENSION_OPTIONAL,Q2V3_008_OPEN_GATEWAY,open_gateway,那拉提镇,乌鲁木齐市,喀什市,吐鲁番市,40,17,23,17,16,17,1,1606.75,1304.67,2911.42,797.75,0.998,0.94,1074.425,1,0,True,True,False,matheuristic_seed_2opt_relocate_swap,approval_required_not_main_route,"{""charter_car"": 24.351, ""gateway_access"": 3.74, ""rental_car"": 14.796, ""scenic_shuttle"": 2.7, ""self_drive"": 9.15}","{""charter_car"": 19.443, ""gateway_access"": 3.8, ""rail"": 3.55, ""rental_car"": 8.764, ""scenic_shuttle"": 18.5, ""self_drive"": 3.8}",巴音布鲁克草原 -> 那拉提草原 -> 夏塔古道 -> 昭苏草原 -> 喀拉峻大草原 -> 霍城薰衣草花田 -> 果子沟大桥 -> 赛里木湖 -> 世界魔鬼城 -> 五彩滩 -> 禾木村 -> 喀纳斯湖 -> 白哈巴村 -> 可可托海 -> 北庭故城遗址 -> 江布拉克草原 -> 天山天池,奥依塔克冰川 -> 石头城遗址 -> 帕米尔高原白沙湖 -> 艾提尕尔清真寺 -> 香妃园 -> 喀什古城 -> 楼兰古城 -> 和田博物馆 -> 千里葡萄长廊 -> 尼雅遗址 -> 库车王府 -> 克孜尔石窟 -> 天山神秘大峡谷 -> 罗布人村寨 -> 博斯腾湖 -> 达坂城古镇 -> 坎儿井民俗园 -> 交河故城 -> 高昌故城 -> 火焰山 -> 苏公塔 -> 吐峪沟麻扎村 -> 葡萄沟
